nome;lat;lng;tipo
PLANETA MOTOS LTDA;-231.937.415.151.323;-45.890.978.619.604;amarelo
CMD AUTOMOVEIS LTDA;-23.536.422.883.852;-467.316.296.775.688;amarelo
GUARUMOTO VEICULOS LTDA;-234.624.372.051.861;-465.324.482.728.424;amarelo
M M UNIVERSO COM DE MOTOC PECAS LTD;-232.137.092.601.042;-459.012.318.017.322;amarelo
MOTO FIELD COM MOT.PEC SERV MAN MOT;-235.330.785.851.577;-462.094.647.349.369;amarelo
JAPAUTO COM DE MOTOCICLETAS LTDA;-234.941.668.541.092;-467.093.503.195.942;amarelo
MOTO REMAZA DISTR VEICULOS E PECAS;-235.012.541.844.882;-466.147.786.061.018;amarelo
SAMPA MOTORS LTDA;-235.023.414.316.953;-46.707.004.932.266;amarelo
UNITED AUTO NAGOYA COM DE VEICULOS;-236.127.862.237.509;-467.295.547.907.544;amarelo
MOTORODA COM DE MOTOCS E VEICULOS L;-236.165.961.039.409;-465.571.672.754.106;amarelo
Com De Moto Matsuo Lt;-235.221.075.590.905;-466.909.032.349.371;amarelo
JAPAUTO COMERCIO DE MOTOCICLETAS LT;-234.857.465.178.399;-465.430.389.907.585;amarelo
ABC MOTORS LTDA;-2.361.386.831.296;-465.776.687.934.843;amarelo
CMD AUTOMOVEIS LTDA HONDA FORTE;-235.181.088.262.889;-466.089.596.600.699;amarelo
DAITAN COMERCIO DE VEICULOS LTDA;-236.074.483.743.993;-466.655.127.907.547;amarelo
MOTO REMAZA DISTR VEICULOS E PECAS;-236.082.796.699.593;-466.672.465.465.748;amarelo
M M UNIVERSO COM DE MOTOC E PECAS;-2.303.669.028.172;-455.749.153.484.447;amarelo
JAPAUTO COMERCIO DE MOTOCICLETAS LT;-235.417.724.616.532;-464.584.980.735.611;amarelo
JAPAUTO COMERCIO DE MOTOCICLETAS LT;-236.154.243.351.879;-466.383.872.016.452;amarelo
DAITAN COMERCIO DE VEICULOS LTDA;-236.235.120.791.816;-466.401.786.285.479;amarelo
JAPAUTO COMERCIO DE MOTOCICLETAS LT;-236.451.910.480.166;-467.144.453.023.938;amarelo
CB MAR COMERCIO DE VEICULOS LTDA;-239.440.941.459.722;-463.292.923.465.639;amarelo
TMT - DISTRIBUIDORA DE VEICULOS LTD;-228.160.931.463.683;-452.013.616.303.385;amarelo
DEFAR COML LTDA EPP;-239.325.404.032.111;-463.364.796.424.321;amarelo
MOTO REMAZA DISTR VEICULOS E PECAS;-237.029.693.559.383;-465.516.965.330.796;amarelo
JAPAUTO COMERCIO DE MOTOCICLETAS LT;-234.849.282.173.558;-463.797.003.619.226;amarelo
MOTO REMAZA DISTR VEICULOS E PECAS;-235.964.980.253.361;-466.101.889.574.694;amarelo
SANMELL MOTOS LTDA;-23.894.277.129.632;-464.211.447.177.297;amarelo
HIURI COMERCIO DE MOTOS E SERVICOS;-234.434.765.707.949;-465.079.054.361.442;amarelo
COMSTAR VEICULOS LTDA;-235.664.283.325.419;-466.569.691.060.998;amarelo
TANI MOTORS DISTR DE VEICULOS LTDA;-236.123.256.978.577;-454.304.256.907.545;amarelo
SANMELL MOTOS LTDA;-240.042.531.614.235;-464.133.120.735.462;amarelo
M M UNIVERSO COM MOTOC PECAS LTDA;-236.850.095.258.031;-466.269.917.754.082;amarelo
CB MAR COMERCIO DE VEICULOS LTDA;-240.118.333.689.228;-464.414.295.637.573;amarelo
UNITED AUTO NAGOYA LTDA;-236.631.722.544.159;-465.306.903.916.074;amarelo
SP JAPAN MOTORS DISTRIB. DE VEIC. L;-235.886.746.995.066;-466.204.502.600.677;amarelo
M M UNIVERSO COM DE MOTOC E PECAS L;-235.834.907.630.023;-465.841.467.776.868;amarelo
SP JAPAN MOTORS DISTRIBUIDORA DE VEICULOS LTDA;-23.545.485.202.778;-465.567.152.619.208;amarelo
MONTE LEONE COM MOTOS PECAS SERVS L;-236.528.910.630.492;-466.574.997.484.251;amarelo
DAIFORCE COM MAQUINAS MOTORES LTDA;-236.224.024.273.777;-465.364.641.463.983;amarelo
JAPAUTO COMERCIO DE MOTOCICLETAS LT;-236.653.721.000.809;-465.169.624.619.168;amarelo
LEVESA LESTE VEICULOS LTDA;-234.914.697.884.817;-464.476.691.889.067;amarelo
GUARUMOTO VEICULOS LTDA;-236.120.331.056.772;-464.781.253.060.985;amarelo
MOTO REMAZA DISTRIB VEICULOS E PECAS LT;-235.407.520.445.789;-465.751.739.619.208;amarelo
GOLDEN MOTOS LTDA;-229.725.661.744.905;-454.623.649.103.522;amarelo
